City,Country,Lat,Lng,Max Temp,Hotel Name,Hotel Address,Hotel Rating
saint-philippe,RE,-21.3585,55.7679,77.0,Les Embruns Du Baril,Réunion,3.8
saint-pierre,RE,-21.3393,55.4781,77.0,Le Battant Des Lames,117 Boulevard Hubert Delisle,4.2
port keats,AU,-14.25,129.55,75.16,TDC Village (Hundred Man Camp),"20 Kanarlda St, Wadeye",3.9
qesarya,IL,32.5189,34.9046,72.0,Dan Caesarea Resort - Happiness Is Around,"Rothschild St 1, Caesarea",4.4
istanbul,TR,41.0351,28.9833,75.2,"Radisson Blu Bosphorus Hotel, Istanbul","Ortaköy, Çırağan Cd. No:46, Beşiktaş",4.3
saint-joseph,RE,-21.3667,55.6167,77.0,"""Plantation Bed and Breakfast","124 Route de Jean Petit, Saint Joseph Ile de la Réunion",4.8
balykshi,KZ,47.0667,51.8667,71.6,Hotel Atyrau,"улица Сатпаева 6, Atyrau",4.3
tacuarembo,UY,-31.7333,-55.9833,77.59,Hotel y Museo La Cumparsita,Brigadier Gral. Fructuoso Rivera km 383,4.5
linqiong,CN,30.4159,103.4609,75.2,Lanting Hotel,"335 Feihong Rd, Qionglai City, Chengdu",5.0
